,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
144,,,,,,,,,,,,الفروانية,جليب الشيوخ,خاص,بيت,تخارج بمقابل,%19.440,1,16/01/2023,500,50000
145,,,,,,,,,,,,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%100.000,9,16/01/2023,400,272000
146,,,,,,,,,,,,حولي,ض. السلام,خاص,أرض,بيع,%100.000,7,16/01/2023,500,800000
147,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,16/01/2023,488,195000
148,,,,,,,,,,,,العاصمة,غرناطة,خاص,بيت,بيع,%100.000,1,15/01/2023,510,442089.11
149,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,501
150,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,528
151,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,15/01/2023,550,310000
152,,,,,,,,,,,,حولي,السالمية,إستثماري,تحت الانشاء,بيع,%20.000,"5,4",15/01/2023,750,111
153,,,,,,,,,,,,حولي,الشعب,خاص,بيت,بيع,%100.000,1,15/01/2023,500,800000
154,,,,,,,,,,,,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,1أ,15/01/2023,103.498,83000
155,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,400
156,,,,,,,,,,,,الجهراء,النهضة,خاص,بيت,بيع,%100.000,3,15/01/2023,400,370000
157,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,513
158,,,,,,,,,,,,الأحمدي,الرقة,خاص,بيت,بيع,%100.000,7,15/01/2023,400,350000
159,,,,,,,,,,,,مبارك الكبير,ض.صباح السالم,خاص,بيت,بيع مستحق مشاع,%6.770,9,15/01/2023,300.125,14895.826
160,,,,,,,,,,,,الأحمدي,ض. جابر العلي السالم الصباح,خاص,بيت,بيع,%100.000,2,15/01/2023,392,435000
161,,,,,,,,,,,,حولي,ض. مبارك العبدالله الصباح,خاص,بيت,بيع,%100.000,3,12/01/2023,416.5,690000
162,,,,,,,,,,,,العاصمة,القبلة - مدينه الكويت,تجاري,بناية,بيع,%100.000,9,12/01/2023,209,3000000
163,,,,,,,,,,,,12345,1,2,3,4,5,,,,
164,,,,,,,,,,,,1,2,3,4,5,,,,,
165,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,8,12/01/2023,400,300000
167,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,12/01/2023,500,620
168,,,,,,,,,,,,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,12/01/2023,70.8,76000
169,,,,,,,,,,,,مبارك الكبير,الفنيطيس,خاص,بيت,بيع,%100.000,8,12/01/2023,400,837000
170,,,,,,,,,,,,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,0,12/01/2023,61.77,42000
